player_id,frames_seen,team,total_distance_m,avg_speed_kmh,max_speed_kmh,avg_accel_ms2,touches,high_intensity,jog,sprint,walk/stand,possession_time_s,passes_made,passes_received,turnovers_won,turnovers_lost,sprint_count
1,111,0,106.24766513705254,86.92990783940662,280.7251453399658,4.50027971105142,0.0,6.162114977836609,79.18633922934532,106.24766513705254,,0.0,0,0,0,0,3
2,50,1,51.01181873679161,93.69517727165804,419.2601251602173,32.092313073119335,0.0,0.0,0.0,51.01181873679161,,0.0,0,0,0,0,1
3,23,1,18.424858823418617,75.3744224594398,261.76589727401733,25.767082009803165,0.0,7.844166800379753,8.083949282765388,18.424858823418617,7.9152731746435165,0.0,0,0,0,0,2
4,267,1,270.0102928392589,91.3568659982455,323.07364225387573,0.7271156051105127,0.0,269.1806730143726,268.62248023971915,270.0102928392589,266.9947752170265,0.0,0,0,0,0,5
5,30,0,20.141903460025787,62.50935556559727,180.91452598571777,8.010761491183576,0.0,0.0,0.0,20.141903460025787,,0.0,0,0,0,0,1
6,294,0,277.6395074017346,85.28175995275124,279.0608882904053,-0.3365249891126522,0.0,277.6395074017346,276.4192171879113,277.41451497748494,269.0123152472079,0.0,0,0,0,0,6
7,26,1,11.20958023518324,40.35448884665966,118.9706254005432,29.997720383107666,0.0,2.602120123803616,2.304219633340836,11.20958023518324,2.3709838166832924,0.0,0,0,0,0,1
8,37,0,18.066279973834757,45.16569993458688,145.20724296569824,14.587331614974472,0.0,17.062697138637304,13.8342014439404,18.066279973834757,15.478117864578962,0.0,0,0,0,0,1
9,25,0,21.544545963406563,80.79204736277461,279.65884923934937,24.410071782767773,0.0,11.819197669625282,0.0,21.544545963406563,,0.0,0,0,0,0,2
10,5,0,0.9793097674846648,22.03446976840496,37.67283797264099,6.765429861843586,0.0,0.9793097674846648,0.3297260701656341,0.7483131587505341,,0.0,0,0,0,0,0
11,1,1,,,,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0
12,42,1,26.91251792013645,59.07625884908001,417.71482944488525,56.75172206105256,0.0,19.17204013466835,18.95661959052086,26.91251792013645,21.40471900999546,0.0,0,0,0,0,3
14,16,1,2.802344188094139,16.814065128564835,26.205546855926517,-10.051249836881956,0.0,2.583565160632133,2.752401441335678,0.2911727428436279,2.802344188094139,0.0,0,0,0,0,0
15,31,1,14.788666367530825,44.36599910259247,91.30794167518616,11.581356326738993,0.0,11.615825295448303,0.0,14.788666367530825,,0.0,0,0,0,0,3
16,25,0,22.63095587491989,84.86608453094959,205.91196298599243,9.202946287890276,0.0,0.0,0.0,22.63095587491989,,0.0,0,0,0,0,1
