frame,t_s,type,id,team,team_conf,has_ball,x_img,y_img,x_world,y_world,speed_kmh,accel_ms2,distance_m,team_in_possession,player_in_possession
9,0.36,player,2,1.0,1.0,0.0,1192.3896484375,570.75146484375,94.85199737548828,59.28544235229492,,,,,
9,0.36,player,4,0.0,1.0,0.0,181.67465209960938,562.5639038085938,1.9357770681381226,58.38227081298828,,,,,
9,0.36,player,9,0.0,1.0,0.0,700.77392578125,850.70751953125,49.83183670043945,88.60889434814453,,,,,
9,0.36,player,5,0.0,1.0,0.0,1423.8544921875,492.46759033203125,117.0439453125,50.536842346191406,,,,,
9,0.36,player,14,1.0,1.0,0.0,1593.09521484375,552.5819702148438,131.9248809814453,57.277469635009766,,,,,
9,0.36,player,1,0.0,1.0,0.0,744.0074462890625,441.2879333496094,53.6939811706543,44.67755889892578,,,,,
9,0.36,player,15,1.0,1.0,0.0,1378.6527099609375,536.9112548828125,112.334228515625,55.53478240966797,,,,,
9,0.36,player,10,0.0,1.0,0.0,1094.0224609375,574.606689453125,85.79276275634766,59.70977020263672,,,,,
9,0.36,player,7,1.0,1.0,0.0,1416.381103515625,609.87353515625,114.97673797607422,63.563663482666016,,,,,
9,0.36,player,3,1.0,1.0,0.0,1313.02490234375,770.8253173828125,104.03410339355469,80.53914642333984,,,,,
9,0.36,player,8,0.0,1.0,0.0,1126.6527099609375,550.2824096679688,88.95108032226562,57.02237319946289,,,,,
9,0.36,player,11,1.0,1.0,0.0,628.40673828125,595.3914794921875,43.089630126953125,61.98712158203125,,,,,
9,0.36,ball,-1,,,,792.1489868164062,433.8275146484375,58.232139587402344,43.813995361328125,,,,,
10,0.4,player,2,1.0,1.0,0.0,1210.3671875,570.8661499023438,95.20264434814453,59.20845031738281,32.31000781059265,0.0,0.3590000867843628,,
10,0.4,player,1,0.0,1.0,0.0,752.9772338867188,443.322998046875,53.19978332519531,44.81871795654297,46.2566202878952,0.0,0.51396244764328,,
10,0.4,player,6,0.0,1.0,0.0,281.57110595703125,667.6207275390625,10.62274169921875,69.68144989013672,,,,,
10,0.4,player,15,1.0,1.0,0.0,1390.136474609375,537.8636474609375,112.07978820800781,55.550262451171875,22.94196903705597,0.0,0.25491076707839966,,
10,0.4,player,4,0.0,1.0,0.0,196.53982543945312,558.6753540039062,1.9512921571731567,57.862342834472656,46.814348101615906,0.0,0.5201594233512878,,
10,0.4,player,10,0.0,1.0,0.0,1109.08154296875,573.9053955078125,85.87908935546875,59.5431022644043,16.892807185649872,0.0,0.1876978576183319,,
10,0.4,player,14,1.0,1.0,0.0,1604.8056640625,554.7297973632812,131.674072265625,57.425376892089844,26.205546855926514,0.0,0.29117274284362793,,
10,0.4,player,9,0.0,1.0,0.0,710.0294189453125,851.523193359375,49.3981819152832,88.60910034179688,39.02893602848053,0.0,0.4336548447608948,,
10,0.4,player,7,1.0,1.0,0.0,1429.436279296875,610.0269775390625,114.87803649902344,63.49197769165039,10.978832021355629,0.0,0.12198702245950699,,
10,0.4,player,8,0.0,1.0,0.0,1141.256591796875,549.6812744140625,88.99604034423828,56.86532974243164,14.701728075742722,0.0,0.16335253417491913,,
10,0.4,player,5,0.0,1.0,0.0,1431.18017578125,490.11761474609375,116.43919372558594,50.177913665771484,63.292096853256226,0.0,0.7032455205917358,,
10,0.4,player,3,1.0,1.0,0.0,1322.71826171875,769.4833984375,103.65267181396484,80.3182144165039,39.671628177165985,0.0,0.4407958686351776,,
11,0.44,player,1,0.0,1.0,0.0,766.7269897460938,443.8269348144531,53.038116455078125,44.778961181640625,14.983520954847336,-217.17430092394352,0.6804460138082504,,
11,0.44,player,16,0.0,1.0,0.0,1552.5107421875,504.91229248046875,126.11933135986328,51.75707244873047,,,,,
11,0.44,player,2,1.0,1.0,0.0,1223.77392578125,569.6778564453125,95.0291748046875,58.9840202331543,25.529010593891144,-47.090258449316025,0.64265576004982,,
11,0.44,player,6,0.0,1.0,0.0,299.22735595703125,665.2613525390625,10.795990943908691,69.34014892578125,34.447980523109436,0.0,0.3827553391456604,,
11,0.44,player,14,1.0,1.0,0.0,1619.19580078125,557.1661987304688,131.55149841308594,57.60136413574219,19.30198073387146,-47.941431403160095,0.5056391954421997,,
11,0.44,player,9,0.0,1.0,0.0,720.3281860351562,852.9775390625,48.94696807861328,88.66948699951172,40.97130596637726,13.488680124282837,0.8888915777206421,,
11,0.44,player,15,1.0,1.0,0.0,1401.3978271484375,538.6517944335938,111.69157409667969,55.543582916259766,34.94444131851196,83.35050195455551,0.6431823372840881,,
11,0.44,player,4,0.0,1.0,0.0,212.46859741210938,557.0084228515625,1.9702035188674927,57.58388900756836,25.11857360601425,-150.66510066390038,0.7992546856403351,,
11,0.44,player,7,1.0,1.0,0.0,1443.12646484375,616.1490478515625,114.65587615966797,64.0641860961914,55.2439945936203,307.39696230739355,0.7358091846108437,,
11,0.44,player,8,0.0,1.0,0.0,1156.916748046875,550.8751220703125,89.01136779785156,56.903724670410156,3.720715083181858,-76.25703467056155,0.20469381287693977,,
11,0.44,player,3,1.0,1.0,0.0,1334.56884765625,780.2486572265625,103.24259948730469,81.33326721191406,98.52807283401489,408.7253101170063,1.5355522334575653,,
11,0.44,player,10,0.0,1.0,0.0,1126.099365234375,574.837890625,86.02081298828125,59.552398681640625,12.782539129257202,-28.54352816939354,0.32972607016563416,,
11,0.44,player,5,0.0,1.0,0.0,1439.211669921875,474.49853515625,115.94097900390625,48.302730560302734,174.62155938148499,773.1212675571442,2.6434850692749023,,
