frame,t_s,team_in_possession,ball_third
346,13.84,1.0,defensive
347,13.88,1.0,defensive
348,13.92,1.0,defensive
349,13.96,1.0,defensive
350,14.0,1.0,defensive
351,14.04,1.0,defensive
352,14.08,1.0,defensive
353,14.12,1.0,defensive
354,14.16,1.0,defensive
355,14.2,1.0,defensive
356,14.24,1.0,defensive
357,14.28,1.0,defensive
358,14.32,1.0,defensive
359,14.36,1.0,defensive
360,14.4,1.0,defensive
361,14.44,1.0,defensive
362,14.48,1.0,defensive
363,14.52,1.0,defensive
364,14.56,1.0,defensive
365,14.6,1.0,defensive
366,14.64,1.0,defensive
367,14.68,1.0,defensive
368,14.72,0.0,defensive
369,14.76,0.0,defensive
370,14.8,0.0,defensive
371,14.84,0.0,defensive
372,14.88,0.0,defensive
373,14.92,0.0,defensive
374,14.96,0.0,defensive
375,15.0,0.0,defensive
376,15.04,0.0,defensive
377,15.08,0.0,defensive
378,15.12,0.0,defensive
379,15.16,1.0,defensive
380,15.2,1.0,defensive
381,15.24,1.0,defensive
382,15.28,1.0,defensive
383,15.32,1.0,defensive
384,15.36,1.0,defensive
385,15.4,1.0,defensive
386,15.44,1.0,defensive
387,15.48,1.0,defensive
388,15.52,1.0,defensive
389,15.56,1.0,defensive
390,15.6,1.0,defensive
391,15.64,1.0,defensive
392,15.68,1.0,defensive
393,15.72,1.0,defensive
394,15.76,1.0,defensive
395,15.8,1.0,defensive
396,15.84,1.0,defensive
397,15.88,1.0,defensive
398,15.92,1.0,defensive
399,15.96,1.0,defensive
400,16.0,1.0,defensive
401,16.04,1.0,defensive
402,16.08,1.0,defensive
403,16.12,1.0,defensive
404,16.16,1.0,defensive
405,16.2,1.0,defensive
406,16.24,1.0,defensive
407,16.28,1.0,defensive
408,16.32,1.0,defensive
409,16.36,1.0,defensive
410,16.4,1.0,defensive
411,16.44,1.0,defensive
412,16.48,1.0,defensive
413,16.52,1.0,defensive
414,16.56,1.0,defensive
415,16.6,1.0,defensive
416,16.64,1.0,defensive
417,16.68,1.0,defensive
418,16.72,1.0,defensive
419,16.76,1.0,defensive
420,16.8,1.0,defensive
421,16.84,1.0,defensive
422,16.88,1.0,defensive
423,16.92,1.0,defensive
424,16.96,1.0,defensive
425,17.0,1.0,defensive
426,17.04,1.0,defensive
427,17.08,1.0,defensive
428,17.12,1.0,defensive
429,17.16,1.0,defensive
430,17.2,1.0,defensive
431,17.24,1.0,defensive
432,17.28,1.0,defensive
433,17.32,1.0,defensive
434,17.36,1.0,defensive
435,17.4,1.0,defensive
436,17.44,1.0,defensive
437,17.48,1.0,defensive
438,17.52,1.0,defensive
439,17.56,1.0,defensive
440,17.6,1.0,defensive
441,17.64,1.0,defensive
442,17.68,1.0,defensive
443,17.72,1.0,defensive
444,17.76,1.0,defensive
445,17.8,1.0,defensive
446,17.84,1.0,defensive
447,17.88,1.0,defensive
448,17.92,1.0,defensive
449,17.96,1.0,defensive
450,18.0,1.0,defensive
451,18.04,1.0,defensive
452,18.08,1.0,defensive
453,18.12,1.0,defensive
454,18.16,1.0,defensive
455,18.2,1.0,defensive
456,18.24,1.0,defensive
457,18.28,1.0,defensive
458,18.32,1.0,defensive
459,18.36,1.0,defensive
460,18.4,1.0,defensive
461,18.44,1.0,defensive
462,18.48,1.0,defensive
463,18.52,1.0,defensive
464,18.56,1.0,defensive
465,18.6,1.0,defensive
466,18.64,1.0,defensive
467,18.68,1.0,defensive
468,18.72,1.0,defensive
469,18.76,1.0,defensive
470,18.8,1.0,defensive
471,18.84,1.0,defensive
472,18.88,1.0,defensive
473,18.92,1.0,defensive
474,18.96,1.0,defensive
475,19.0,1.0,defensive
476,19.04,1.0,defensive
489,19.56,1.0,defensive
491,19.64,1.0,defensive
492,19.68,1.0,defensive
493,19.72,1.0,defensive
494,19.76,1.0,defensive
495,19.8,1.0,defensive
496,19.84,1.0,defensive
497,19.88,1.0,defensive
498,19.92,1.0,defensive
499,19.96,1.0,defensive
500,20.0,1.0,defensive
501,20.04,1.0,defensive
502,20.08,1.0,defensive
503,20.12,1.0,defensive
504,20.16,1.0,defensive
505,20.2,1.0,defensive
506,20.24,1.0,defensive
507,20.28,1.0,defensive
508,20.32,1.0,defensive
509,20.36,1.0,defensive
510,20.4,1.0,defensive
511,20.44,1.0,defensive
512,20.48,1.0,defensive
520,20.8,1.0,defensive
521,20.84,1.0,defensive
523,20.92,1.0,defensive
524,20.96,1.0,defensive
525,21.0,1.0,defensive
526,21.04,1.0,defensive
527,21.08,1.0,defensive
528,21.12,1.0,defensive
529,21.16,1.0,defensive
530,21.2,1.0,defensive
531,21.24,1.0,defensive
532,21.28,1.0,defensive
533,21.32,1.0,defensive
534,21.36,1.0,defensive
535,21.4,1.0,defensive
536,21.44,1.0,defensive
537,21.48,1.0,defensive
538,21.52,1.0,defensive
539,21.56,1.0,defensive
540,21.6,1.0,defensive
541,21.64,1.0,defensive
542,21.68,1.0,defensive
543,21.72,1.0,defensive
544,21.76,1.0,defensive
545,21.8,1.0,defensive
546,21.84,1.0,defensive
547,21.88,1.0,defensive
548,21.92,1.0,defensive
549,21.96,1.0,defensive
550,22.0,1.0,defensive
551,22.04,1.0,defensive
552,22.08,1.0,defensive
553,22.12,1.0,defensive
554,22.16,1.0,defensive
555,22.2,1.0,defensive
556,22.24,1.0,defensive
557,22.28,1.0,defensive
558,22.32,1.0,defensive
559,22.36,1.0,defensive
560,22.4,1.0,defensive
561,22.44,1.0,defensive
562,22.48,1.0,defensive
563,22.52,1.0,defensive
564,22.56,1.0,defensive
565,22.6,1.0,defensive
566,22.64,1.0,defensive
567,22.68,1.0,defensive
568,22.72,1.0,defensive
569,22.76,1.0,defensive
570,22.8,1.0,defensive
571,22.84,1.0,defensive
572,22.88,1.0,defensive
573,22.92,1.0,defensive
574,22.96,1.0,defensive
575,23.0,1.0,defensive
576,23.04,1.0,defensive
577,23.08,1.0,defensive
578,23.12,1.0,defensive
579,23.16,1.0,defensive
580,23.2,1.0,defensive
581,23.24,1.0,defensive
582,23.28,1.0,defensive
583,23.32,1.0,defensive
584,23.36,1.0,defensive
585,23.4,1.0,defensive
586,23.44,1.0,defensive
587,23.48,1.0,defensive
588,23.52,1.0,defensive
589,23.56,1.0,defensive
590,23.6,1.0,defensive
