frame,t_s,type,id,team,team_conf,has_ball,x_img,y_img,x_world,y_world,speed_kmh,accel_ms2,distance_m,team_in_possession,player_in_possession
0,0.0,ball,-1,,,,934.865234375,263.92791748046875,79.8029556274414,23.254714965820312,0.0,,0.0,,
1,0.04,ball,-1,,,,915.6484375,258.7921142578125,78.87063598632812,23.027481079101562,86.36508178710938,,0.9596120119094849,,
2,0.08,ball,-1,,,,,,77.70524597167969,22.743440628051758,107.9554672241211,,2.1591172218322754,,
3,0.12,ball,-1,,,,,,76.30677032470703,22.402591705322266,129.5472412109375,,3.5985310077667236,,
4,0.16,ball,-1,,,,858.6346435546875,251.14077758789062,74.67521667480469,22.00493621826172,151.1383056640625,,5.27784538269043,,
5,0.2,ball,-1,,,,839.821044921875,249.0496826171875,73.04367065429688,21.60727882385254,151.13768005371094,,6.957152843475342,,
6,0.24,ball,-1,,,,823.2994384765625,247.55169677734375,71.41211700439453,21.209623336791992,151.1383056640625,,8.636466979980469,,
7,0.28,ball,-1,,,,806.5765991210938,247.81207275390625,69.78057098388672,20.811965942382812,151.13768005371094,,10.315774917602539,,
8,0.32,ball,-1,,,,791.4608154296875,247.5037841796875,68.14901733398438,20.414310455322266,151.1383056640625,,11.995089530944824,,
9,0.36,player,14,0.0,1.0,0.0,407.05718994140625,451.87213134765625,29.757591247558594,45.88536834716797,,,,,
9,0.36,player,1,0.0,1.0,0.0,102.91291809082031,416.77008056640625,0.8528525233268738,41.81700897216797,,,,,
9,0.36,player,13,0.0,1.0,0.0,108.39305114746094,542.92626953125,2.5650360584259033,56.19214630126953,,,,,
9,0.36,player,3,1.0,1.0,0.0,460.52667236328125,672.051513671875,35.48456954956055,70.22649383544922,,,,,
9,0.36,player,5,1.0,1.0,0.0,128.3579864501953,1022.385986328125,8.329019546508789,105.19940948486328,,,,,
9,0.36,player,15,0.0,1.0,0.0,877.7540283203125,308.99835205078125,74.5559310913086,28.980850219726562,,,,,
9,0.36,player,2,0.0,1.0,0.0,225.35548400878906,717.8739624023438,14.592004776000977,75.05059814453125,,,,,
9,0.36,player,21,1.0,1.0,0.0,138.60816955566406,487.41546630859375,4.865309238433838,49.95043182373047,,,,,
