frame,t_s,team_in_possession,ball_third
0,0.0,,middle
1,0.03333333333333333,,middle
2,0.06666666666666667,,middle
3,0.1,,middle
4,0.13333333333333333,,middle
5,0.16666666666666666,,middle
6,0.2,,middle
7,0.23333333333333334,,middle
8,0.26666666666666666,,middle
9,0.3,,middle
10,0.3333333333333333,,middle
11,0.36666666666666664,,middle
12,0.4,,middle
13,0.43333333333333335,,middle
14,0.4666666666666667,,middle
15,0.5,,middle
16,0.5333333333333333,,middle
17,0.5666666666666667,,middle
18,0.6,,middle
19,0.6333333333333333,,middle
20,0.6666666666666666,,middle
21,0.7,,middle
22,0.7333333333333333,,middle
23,0.7666666666666667,,middle
24,0.8,,middle
25,0.8333333333333334,,middle
26,0.8666666666666667,,middle
27,0.9,0.0,middle
28,0.9333333333333333,0.0,middle
29,0.9666666666666667,0.0,middle
30,1.0,1.0,middle
31,1.0333333333333334,1.0,middle
32,1.0666666666666667,1.0,middle
33,1.1,1.0,middle
34,1.1333333333333333,1.0,middle
35,1.1666666666666667,1.0,middle
36,1.2,1.0,middle
37,1.2333333333333334,0.0,middle
38,1.2666666666666666,0.0,middle
39,1.3,0.0,middle
40,1.3333333333333333,0.0,middle
41,1.3666666666666667,0.0,middle
42,1.4,0.0,middle
43,1.4333333333333333,0.0,middle
44,1.4666666666666666,0.0,middle
45,1.5,0.0,middle
46,1.5333333333333334,0.0,middle
47,1.5666666666666667,0.0,middle
48,1.6,0.0,middle
49,1.6333333333333333,0.0,middle
50,1.6666666666666667,0.0,middle
51,1.7,0.0,middle
52,1.7333333333333334,0.0,middle
53,1.7666666666666666,0.0,middle
54,1.8,0.0,middle
55,1.8333333333333333,0.0,middle
56,1.8666666666666667,0.0,middle
57,1.9,0.0,middle
58,1.9333333333333333,0.0,middle
59,1.9666666666666666,1.0,middle
60,2.0,1.0,middle
61,2.033333333333333,1.0,middle
62,2.066666666666667,1.0,middle
63,2.1,1.0,middle
64,2.1333333333333333,1.0,middle
65,2.1666666666666665,1.0,middle
66,2.2,1.0,middle
67,2.2333333333333334,1.0,middle
68,2.2666666666666666,1.0,middle
69,2.3,1.0,middle
70,2.3333333333333335,1.0,middle
71,2.3666666666666667,1.0,middle
72,2.4,1.0,middle
73,2.433333333333333,1.0,middle
74,2.466666666666667,1.0,middle
75,2.5,1.0,middle
76,2.533333333333333,1.0,middle
77,2.566666666666667,1.0,middle
78,2.6,1.0,middle
79,2.6333333333333333,1.0,middle
80,2.6666666666666665,1.0,middle
81,2.7,1.0,middle
82,2.7333333333333334,1.0,middle
83,2.7666666666666666,1.0,middle
84,2.8,1.0,middle
85,2.8333333333333335,1.0,middle
86,2.8666666666666667,1.0,middle
87,2.9,1.0,middle
88,2.933333333333333,1.0,middle
89,2.966666666666667,1.0,middle
90,3.0,1.0,middle
91,3.033333333333333,1.0,middle
92,3.066666666666667,1.0,middle
93,3.1,1.0,middle
94,3.1333333333333333,1.0,middle
95,3.1666666666666665,1.0,middle
96,3.2,1.0,middle
97,3.2333333333333334,1.0,middle
98,3.2666666666666666,1.0,middle
99,3.3,1.0,middle
100,3.3333333333333335,1.0,middle
101,3.3666666666666667,1.0,middle
102,3.4,1.0,middle
103,3.433333333333333,1.0,middle
104,3.466666666666667,1.0,middle
105,3.5,1.0,middle
106,3.533333333333333,1.0,middle
107,3.566666666666667,1.0,middle
108,3.6,1.0,middle
109,3.6333333333333333,1.0,middle
110,3.6666666666666665,1.0,middle
111,3.7,1.0,middle
112,3.7333333333333334,1.0,middle
113,3.7666666666666666,1.0,middle
114,3.8,1.0,middle
115,3.8333333333333335,1.0,middle
116,3.8666666666666667,1.0,middle
117,3.9,1.0,middle
118,3.933333333333333,1.0,middle
119,3.966666666666667,1.0,middle
120,4.0,1.0,middle
121,4.033333333333333,1.0,middle
122,4.066666666666666,1.0,middle
123,4.1,1.0,middle
124,4.133333333333334,1.0,middle
125,4.166666666666667,1.0,middle
126,4.2,1.0,middle
127,4.233333333333333,1.0,middle
128,4.266666666666667,1.0,middle
129,4.3,1.0,middle
130,4.333333333333333,1.0,middle
131,4.366666666666666,1.0,middle
132,4.4,1.0,middle
133,4.433333333333334,1.0,middle
134,4.466666666666667,1.0,middle
135,4.5,1.0,middle
136,4.533333333333333,1.0,middle
137,4.566666666666666,1.0,middle
138,4.6,1.0,middle
