frame_idx,t_s,type,team_id,from_player,to_player,note
27,0.9,possession_start,0,,12,
28,0.9333333333333333,touch,0,12.0,12,
29,0.9666666666666667,touch,0,12.0,12,
30,1.0,turnover,1,12.0,8,0->1
31,1.0333333333333334,touch,1,8.0,8,
32,1.0666666666666667,touch,1,8.0,8,
33,1.1,touch,1,8.0,8,
34,1.1333333333333333,touch,1,8.0,8,
35,1.1666666666666667,touch,1,8.0,8,
36,1.2,touch,1,8.0,8,
37,1.2333333333333334,turnover,0,8.0,12,1->0
38,1.2666666666666666,touch,0,12.0,12,
39,1.3,touch,0,12.0,12,
40,1.3333333333333333,touch,0,12.0,12,
41,1.3666666666666667,touch,0,12.0,12,
42,1.4,touch,0,12.0,12,
43,1.4333333333333333,touch,0,12.0,12,
44,1.4666666666666666,touch,0,12.0,12,
45,1.5,touch,0,12.0,12,
46,1.5333333333333334,touch,0,12.0,12,
47,1.5666666666666667,touch,0,12.0,12,
48,1.6,touch,0,12.0,12,
49,1.6333333333333333,touch,0,12.0,12,
50,1.6666666666666667,touch,0,12.0,12,
51,1.7,touch,0,12.0,12,
52,1.7333333333333334,touch,0,12.0,12,
53,1.7666666666666666,touch,0,12.0,12,
54,1.8,touch,0,12.0,12,
55,1.8333333333333333,touch,0,12.0,12,
56,1.8666666666666667,touch,0,12.0,12,
57,1.9,touch,0,12.0,12,
58,1.9333333333333333,touch,0,12.0,12,
59,1.9666666666666666,turnover,1,12.0,8,0->1
60,2.0,touch,1,8.0,8,
61,2.033333333333333,touch,1,8.0,8,
62,2.066666666666667,touch,1,8.0,8,
63,2.1,touch,1,8.0,8,
64,2.1333333333333333,touch,1,8.0,8,
65,2.1666666666666665,touch,1,8.0,8,
66,2.2,touch,1,8.0,8,
67,2.2333333333333334,touch,1,8.0,8,
68,2.2666666666666666,touch,1,8.0,8,
69,2.3,touch,1,8.0,8,
70,2.3333333333333335,touch,1,8.0,8,
71,2.3666666666666667,touch,1,8.0,8,
72,2.4,touch,1,8.0,8,
73,2.433333333333333,touch,1,8.0,8,
74,2.466666666666667,touch,1,8.0,8,
75,2.5,touch,1,8.0,8,
76,2.533333333333333,touch,1,8.0,8,
77,2.566666666666667,touch,1,8.0,8,
78,2.6,touch,1,8.0,8,
79,2.6333333333333333,touch,1,8.0,8,
80,2.6666666666666665,touch,1,8.0,8,
81,2.7,touch,1,8.0,8,
82,2.7333333333333334,touch,1,8.0,8,
83,2.7666666666666666,touch,1,8.0,8,
84,2.8,touch,1,8.0,8,
85,2.8333333333333335,touch,1,8.0,8,
86,2.8666666666666667,touch,1,8.0,8,
87,2.9,touch,1,8.0,8,
88,2.933333333333333,touch,1,8.0,8,
89,2.966666666666667,touch,1,8.0,8,
90,3.0,touch,1,8.0,8,
91,3.033333333333333,touch,1,8.0,8,
92,3.066666666666667,touch,1,8.0,8,
93,3.1,touch,1,8.0,8,
94,3.1333333333333333,touch,1,8.0,8,
95,3.1666666666666665,touch,1,8.0,8,
96,3.2,touch,1,8.0,8,
97,3.2333333333333334,touch,1,8.0,8,
98,3.2666666666666666,touch,1,8.0,8,
99,3.3,touch,1,8.0,8,
100,3.3333333333333335,touch,1,8.0,8,
101,3.3666666666666667,touch,1,8.0,8,
102,3.4,touch,1,8.0,8,
103,3.433333333333333,touch,1,8.0,8,
104,3.466666666666667,touch,1,8.0,8,
105,3.5,touch,1,8.0,8,
106,3.533333333333333,touch,1,8.0,8,
107,3.566666666666667,touch,1,8.0,8,
108,3.6,touch,1,8.0,8,
109,3.6333333333333333,touch,1,8.0,8,
110,3.6666666666666665,touch,1,8.0,8,
111,3.7,touch,1,8.0,8,
112,3.7333333333333334,touch,1,8.0,8,
113,3.7666666666666666,touch,1,8.0,8,
114,3.8,touch,1,8.0,8,
115,3.8333333333333335,touch,1,8.0,8,
116,3.8666666666666667,touch,1,8.0,8,
117,3.9,touch,1,8.0,8,
118,3.933333333333333,touch,1,8.0,8,
119,3.966666666666667,touch,1,8.0,8,
120,4.0,touch,1,8.0,8,
121,4.033333333333333,touch,1,8.0,8,
122,4.066666666666666,touch,1,8.0,8,
123,4.1,touch,1,8.0,8,
124,4.133333333333334,touch,1,8.0,8,
125,4.166666666666667,touch,1,8.0,8,
126,4.2,touch,1,8.0,8,
127,4.233333333333333,touch,1,8.0,8,
128,4.266666666666667,touch,1,8.0,8,
129,4.3,touch,1,8.0,8,
130,4.333333333333333,touch,1,8.0,8,
131,4.366666666666666,touch,1,8.0,8,
132,4.4,pass,1,8.0,37,
133,4.433333333333334,touch,1,37.0,37,
134,4.466666666666667,touch,1,37.0,37,
135,4.5,touch,1,37.0,37,
136,4.533333333333333,touch,1,37.0,37,
137,4.566666666666666,touch,1,37.0,37,
138,4.6,touch,1,37.0,37,
139,4.633333333333334,touch,1,37.0,37,
140,4.666666666666667,touch,1,37.0,37,
141,4.7,touch,1,37.0,37,
142,4.733333333333333,touch,1,37.0,37,
143,4.766666666666667,touch,1,37.0,37,
144,4.8,turnover,0,37.0,18,1->0
145,4.833333333333333,touch,0,18.0,18,
146,4.866666666666666,touch,0,18.0,18,
147,4.9,touch,0,18.0,18,
148,4.933333333333334,touch,0,18.0,18,
149,4.966666666666667,touch,0,18.0,18,
150,5.0,touch,0,18.0,18,
151,5.033333333333333,touch,0,18.0,18,
152,5.066666666666666,touch,0,18.0,18,
153,5.1,touch,0,18.0,18,
154,5.133333333333334,touch,0,18.0,18,
155,5.166666666666667,touch,0,18.0,18,
156,5.2,touch,0,18.0,18,
157,5.233333333333333,touch,0,18.0,18,
158,5.266666666666667,touch,0,18.0,18,
159,5.3,touch,0,18.0,18,
160,5.333333333333333,touch,0,18.0,18,
161,5.366666666666666,touch,0,18.0,18,
162,5.4,touch,0,18.0,18,
163,5.433333333333334,touch,0,18.0,18,
164,5.466666666666667,touch,0,18.0,18,
165,5.5,touch,0,18.0,18,
166,5.533333333333333,touch,0,18.0,18,
167,5.566666666666666,touch,0,18.0,18,
168,5.6,touch,0,18.0,18,
169,5.633333333333334,touch,0,18.0,18,
170,5.666666666666667,touch,0,18.0,18,
171,5.7,pass,0,18.0,33,
172,5.733333333333333,touch,0,33.0,33,
173,5.766666666666667,touch,0,33.0,33,
174,5.8,touch,0,33.0,33,
175,5.833333333333333,touch,0,33.0,33,
176,5.866666666666666,touch,0,33.0,33,
177,5.9,touch,0,33.0,33,
178,5.933333333333334,touch,0,33.0,33,
179,5.966666666666667,touch,0,33.0,33,
180,6.0,touch,0,33.0,33,
181,6.033333333333333,touch,0,33.0,33,
182,6.066666666666666,touch,0,33.0,33,
183,6.1,touch,0,33.0,33,
184,6.133333333333334,touch,0,33.0,33,
185,6.166666666666667,touch,0,33.0,33,
186,6.2,touch,0,33.0,33,
187,6.233333333333333,touch,0,33.0,33,
188,6.266666666666667,touch,0,33.0,33,
189,6.3,touch,0,33.0,33,
190,6.333333333333333,touch,0,33.0,33,
191,6.366666666666666,touch,0,33.0,33,
192,6.4,pass,0,33.0,29,
193,6.433333333333334,touch,0,29.0,29,
194,6.466666666666667,touch,0,29.0,29,
195,6.5,touch,0,29.0,29,
196,6.533333333333333,touch,0,29.0,29,
197,6.566666666666666,touch,0,29.0,29,
198,6.6,touch,0,29.0,29,
199,6.633333333333334,touch,0,29.0,29,
200,6.666666666666667,touch,0,29.0,29,
201,6.7,touch,0,29.0,29,
202,6.733333333333333,touch,0,29.0,29,
203,6.766666666666667,touch,0,29.0,29,
204,6.8,touch,0,29.0,29,
205,6.833333333333333,touch,0,29.0,29,
206,6.866666666666666,touch,0,29.0,29,
207,6.9,touch,0,29.0,29,
208,6.933333333333334,touch,0,29.0,29,
209,6.966666666666667,touch,0,29.0,29,
210,7.0,touch,0,29.0,29,
211,7.033333333333333,touch,0,29.0,29,
212,7.066666666666666,touch,0,29.0,29,
213,7.1,touch,0,29.0,29,
214,7.133333333333334,touch,0,29.0,29,
215,7.166666666666667,touch,0,29.0,29,
216,7.2,touch,0,29.0,29,
217,7.233333333333333,touch,0,29.0,29,
218,7.266666666666667,touch,0,29.0,29,
219,7.3,touch,0,29.0,29,
220,7.333333333333333,touch,0,29.0,29,
221,7.366666666666666,touch,0,29.0,29,
222,7.4,touch,0,29.0,29,
223,7.433333333333334,touch,0,29.0,29,
224,7.466666666666667,touch,0,29.0,29,
225,7.5,touch,0,29.0,29,
226,7.533333333333333,touch,0,29.0,29,
227,7.566666666666666,touch,0,29.0,29,
228,7.6,touch,0,29.0,29,
229,7.633333333333334,touch,0,29.0,29,
230,7.666666666666667,touch,0,29.0,29,
231,7.7,touch,0,29.0,29,
232,7.733333333333333,touch,0,29.0,29,
233,7.766666666666667,touch,0,29.0,29,
234,7.8,touch,0,29.0,29,
235,7.833333333333333,touch,0,29.0,29,
236,7.866666666666666,touch,0,29.0,29,
237,7.9,touch,0,29.0,29,
238,7.933333333333334,touch,0,29.0,29,
239,7.966666666666667,touch,0,29.0,29,
240,8.0,touch,0,29.0,29,
241,8.033333333333333,touch,0,29.0,29,
242,8.066666666666666,touch,0,29.0,29,
243,8.1,touch,0,29.0,29,
244,8.133333333333333,touch,0,29.0,29,
245,8.166666666666666,touch,0,29.0,29,
246,8.2,touch,0,29.0,29,
247,8.233333333333333,touch,0,29.0,29,
248,8.266666666666667,touch,0,29.0,29,
249,8.3,touch,0,29.0,29,
250,8.333333333333334,touch,0,29.0,29,
251,8.366666666666667,touch,0,29.0,29,
252,8.4,touch,0,29.0,29,
253,8.433333333333334,touch,0,29.0,29,
254,8.466666666666667,touch,0,29.0,29,
255,8.5,touch,0,29.0,29,
256,8.533333333333333,touch,0,29.0,29,
257,8.566666666666666,touch,0,29.0,29,
258,8.6,touch,0,29.0,29,
259,8.633333333333333,touch,0,29.0,29,
260,8.666666666666666,touch,0,29.0,29,
261,8.7,touch,0,29.0,29,
262,8.733333333333333,touch,0,29.0,29,
263,8.766666666666667,touch,0,29.0,29,
264,8.8,touch,0,29.0,29,
265,8.833333333333334,touch,0,29.0,29,
266,8.866666666666667,touch,0,29.0,29,
267,8.9,touch,0,29.0,29,
268,8.933333333333334,touch,0,29.0,29,
269,8.966666666666667,touch,0,29.0,29,
270,9.0,touch,0,29.0,29,
271,9.033333333333333,touch,0,29.0,29,
272,9.066666666666666,touch,0,29.0,29,
273,9.1,touch,0,29.0,29,
274,9.133333333333333,touch,0,29.0,29,
275,9.166666666666666,touch,0,29.0,29,
276,9.2,touch,0,29.0,29,
277,9.233333333333333,touch,0,29.0,29,
278,9.266666666666667,touch,0,29.0,29,
279,9.3,touch,0,29.0,29,
280,9.333333333333334,touch,0,29.0,29,
281,9.366666666666667,touch,0,29.0,29,
282,9.4,touch,0,29.0,29,
283,9.433333333333334,touch,0,29.0,29,
284,9.466666666666667,touch,0,29.0,29,
285,9.5,touch,0,29.0,29,
286,9.533333333333333,touch,0,29.0,29,
287,9.566666666666666,touch,0,29.0,29,
288,9.6,touch,0,29.0,29,
289,9.633333333333333,touch,0,29.0,29,
290,9.666666666666666,touch,0,29.0,29,
291,9.7,touch,0,29.0,29,
292,9.733333333333333,touch,0,29.0,29,
293,9.766666666666667,touch,0,29.0,29,
294,9.8,touch,0,29.0,29,
295,9.833333333333334,touch,0,29.0,29,
296,9.866666666666667,touch,0,29.0,29,
297,9.9,touch,0,29.0,29,
298,9.933333333333334,touch,0,29.0,29,
299,9.966666666666667,touch,0,29.0,29,
300,10.0,touch,0,29.0,29,
301,10.033333333333333,touch,0,29.0,29,
302,10.066666666666666,touch,0,29.0,29,
303,10.1,touch,0,29.0,29,
304,10.133333333333333,turnover,1,29.0,53,0->1
305,10.166666666666666,touch,1,53.0,53,
306,10.2,touch,1,53.0,53,
307,10.233333333333333,touch,1,53.0,53,
308,10.266666666666667,touch,1,53.0,53,
309,10.3,touch,1,53.0,53,
310,10.333333333333334,touch,1,53.0,53,
311,10.366666666666667,touch,1,53.0,53,
312,10.4,touch,1,53.0,53,
313,10.433333333333334,touch,1,53.0,53,
