frame,x,y,speed_kmh,cumulative_dist_m
143,42.603622,29.91546,50.59381,168.21306
144,42.43413,30.25115,40.613544,168.58911
145,42.56341,30.909126,72.4201,169.25967
146,42.398254,31.279072,43.754875,169.66481
147,41.93229,31.372293,51.32147,170.14001
148,41.16552,31.188791,85.14951,170.92844
149,40.392384,31.016596,85.54464,171.72052
150,39.612873,30.855705,85.96165,172.51646
151,38.82655,30.707685,86.414474,173.3166
152,38.04284,30.600075,85.434906,174.10767
153,37.26174,30.532879,84.67009,174.89165
154,36.493385,30.492907,83.094696,175.66104
155,35.723713,30.50567,83.13603,176.43082
156,31.429298,31.569902,477.8262,180.85513
157,23.610146,33.685608,874.83575,188.95546
158,16.795427,35.576176,763.787,196.02756
159,10.975713,37.214058,652.9467,202.07336
160,6.1510096,38.599262,542.1185,207.09299
161,2.3175533,39.73366,431.76025,211.09077
162,-0.5105953,40.591755,319.18973,214.04623
163,1.189985,40.1748,189.10252,215.79718
164,7.4192953,38.4828,697.1412,222.2522
165,10.806604,37.57975,378.60675,225.75781
166,11.351912,37.465652,60.168514,226.31493
167,9.055219,38.140503,258.52908,228.70871
168,5.8541036,39.100975,360.94696,232.05081
169,1.7485657,40.34707,463.37146,236.3413
170,-3.2633793,41.87548,565.8997,241.5811
171,-9.163584,43.67553,666.21716,247.74979
172,-13.110046,44.95827,448.16733,251.89949
173,-15.088,45.736267,229.54965,254.02495
174,-15.078226,46.01242,29.843258,254.30127
175,-15.013042,46.256874,27.32344,254.55426
176,-14.883739,46.49664,29.420156,254.82668
177,-14.711354,46.726044,30.99112,255.11363
178,-14.514035,46.955772,32.706364,255.41647
179,-14.291782,47.18582,34.546314,255.73634
180,-14.0593605,47.403614,34.399906,256.05487
181,-13.835995,47.606255,32.571526,256.35645
182,-13.626939,47.826935,32.829887,256.66043
183,-13.440905,48.03864,30.437498,256.94226
184,-13.254872,48.250343,30.437365,257.2241
185,-13.068839,48.462044,30.43712,257.50592
186,-12.882805,48.673748,30.437498,257.78775
187,-12.685965,48.87418,30.33993,258.06866
188,-12.341398,49.557823,82.68133,258.83423
189,-11.849106,50.724686,136.77762,260.10068
190,-11.2090845,52.37477,191.145,261.87054
191,-10.421335,54.508076,245.60294,264.14465
192,-9.485859,57.124596,300.10187,266.92337
193,-8.402656,60.224335,354.62357,270.2069
194,-7.3470907,63.318962,353.12753,273.47662
195,-6.4613695,65.90866,295.59344,276.2136
196,-5.7467966,67.9901,237.67339,278.41428
197,-5.5303564,68.187004,31.601538,278.70688
198,-5.8120475,66.499374,184.78554,280.41785
199,-6.2424593,64.34223,237.56363,282.61752
200,-6.8215923,61.715584,290.49136,285.30725
201,-7.3848863,59.119026,286.95114,287.9642
202,-7.9270577,56.557877,282.73395,290.58212
203,-8.4468,54.035477,278.14206,293.1575
204,-8.6186695,52.90754,123.2233,294.29846
205,-8.442662,53.174076,34.495876,294.61786
206,-8.268192,53.420067,32.570763,294.91943
207,-8.085544,53.673275,33.718643,295.23163
208,-7.8947163,53.933712,34.869537,295.5545
209,-7.6957107,54.201378,36.022205,295.88803
210,-7.4885273,54.47627,37.17616,296.23227
211,-7.271629,54.77893,40.21447,296.6046
212,-7.0450163,55.109367,43.27306,297.00528
213,-6.817391,55.452858,44.503216,297.41736
214,-6.598465,55.781616,42.658024,297.81235
215,-6.38824,56.095654,40.814003,298.19025
216,-6.186716,56.39497,38.970215,298.5511
